id,serial_number,brand,frame_color,has_basket,has_bell,has_gears,rented,rental_date,customer_id,repairs_costs,repairs_n,revenue
1,3440a7ee39ac692e51b84b2275463693d97a3556e5b607b329ffc609f443073f,Veloretti,olive,False,False,True,False,,,0.0,0,0.0
2,785509bb4e23fade78a60507fcaec76bf82b550e2c234b06980d16955e93c659,Gazelle,blue,True,True,True,False,,,0.0,0,0.0
3,697eebc79fd99d3e4ee0b7f62d4776709830b7acb90b0cc8d7549843932369a3,Urban Arrow,blue,True,False,False,False,,,0.0,0,0.0
4,f4af249ec9d235959f320157fd20442c64ad66b7b9f48c79351855b739fa5c2d,Urban Arrow,gray,True,False,False,False,,,0.0,0,0.0
5,a69d8e8823b4f94646b68ec91aca4becc73f24fe7e01155d69035fdeb0a4c8e4,Urban Arrow,navy,True,True,True,False,,,0.0,0,0.0
6,bc3b44fc9c458a86729402c1abb11275f347364a38575bb8713725d678a8db66,Azor,gray,True,True,False,False,,,0.0,0,0.0
7,650392bfbba1a66e474d3e57d34827bf9b6e86047f565a7a6cb6736fcbc020c8,Urban Arrow,purple,True,True,True,False,,,0.0,0,0.0
8,d05b45b6329a87f0472f00b95a8184299fc16b893446a5b7f10895dd93e54b22,Urban Arrow,fuchsia,False,False,False,False,,,0.0,0,0.0
9,4f681e765302d1ecdc8d2fa9b8d9bbb74f4e6e8f5aa8f9ca36dc6e7cc056adbb,Batavus,maroon,True,False,True,False,,,0.0,0,0.0
10,bcb79310d81dfb79e65dbab63a1c5781fbb486adf90a9ec4fa22535378604164,Bakfiets,green,False,False,True,False,,,0.0,0,0.0
11,421ae7bd4bb4f8df4bb9fe4057df0ab43125da453723837d08e65506cd62ada2,Gazelle,navy,False,True,False,False,,,0.0,0,0.0
12,aab7a49ab1456d99046d455182dcd7bc367b4a7d9572d1efbd9aab6fb5383581,Bakfiets,maroon,True,False,False,False,,,0.0,0,0.0
13,358243f08d8f867608739159afbd5613a0ff93ce32cf5ca0ae6e73ab4f478b3b,Azor,silver,True,True,True,False,,,0.0,0,0.0
14,f592fe7303e10951686e704f457a4a6610c4ee8576b08d6d086f507afcc57059,Urban Arrow,silver,False,False,True,False,,,0.0,0,0.0
15,29f3caaaa8cad919bc6e73eebef2e75caff16fcc75c65a8c803d900da3d4a543,Gazelle,green,False,False,True,False,,,0.0,0,0.0
16,9baca136db8344490ee1c6f5a0b11d1a73b491834827e947bf2849b4ed1d5ae8,Gazelle,lime,True,False,False,False,,,0.0,0,0.0
17,5636c060c281044592c920e8f9fbaf53748431e472182058a9d36e0e41657376,Urban Arrow,teal,False,True,False,False,,,0.0,0,0.0
18,08205b62846456cd4bb934952568c198fbf42dee2c51645b8d7703e9420cc5c2,Bakfiets,silver,False,True,True,False,,,0.0,0,0.0
19,8d5e159750c5b1658babe942cdcd8d684d07e89ae052a435a0634c07821f996b,Veloretti,maroon,True,True,True,False,,,0.0,0,0.0
20,08cad861482b2bd7d85b30090a8d164e2dc880905e3a734dbbdca5e77ffeb679,VanMoof,purple,False,True,False,False,,,0.0,0,0.0
21,598b8ff8850b994af00769331a5dbb708e8d05c7b905c601ef0b7eef0aad694e,Veloretti,silver,True,False,True,False,,,0.0,0,0.0
22,7dc7d753e1833e189f3b8b04aeca5ae289dbb265410007a5e65bcedd1f9d0cb7,Azor,teal,False,False,False,False,,,0.0,0,0.0
23,1d2cebbb457647c58fa957eba8cdef6c6b4e8bc048dff6042e516985d0a5586a,VanMoof,aqua,False,True,True,False,,,0.0,0,0.0
24,2ea72fcbe90748d2967bdbd3cc5a804606dd69029f164536446f81f00d56ea70,Veloretti,gray,False,True,True,False,,,0.0,0,0.0
25,afad44dfe67400f4372ba596e470615925694cd6e171821469c0676bc373ca0b,Batavus,black,False,True,False,False,,,0.0,0,0.0
26,a98bc09988482dd61587e896f5cf56129e2c875bbef3aeee62d5f4e1bc3e42f5,Bakfiets,fuchsia,False,False,True,False,,,0.0,0,0.0
27,1de6c88f7767d83024a19a26a947bfc89ef7194384cae702d4c7cf573e82c7f5,Urban Arrow,maroon,False,True,False,False,,,0.0,0,0.0
28,1a3101319ee66c09471b93c1a0c4ff3bb48a8d1630541ad9a394adff69fe3066,Urban Arrow,black,True,False,True,False,,,0.0,0,0.0
29,a15fad0e60d3a6081f62260c13456d99ee31b7826971dc54befd27329e7a87cd,Veloretti,fuchsia,False,False,True,False,,,0.0,0,0.0
